Vehicle Type,Brand,Model,Year,Range (km),Top Speed (km/h)
Bike,Ultraviolette,F77,2019,97,158
Car,Mahindra,eVerito,2020,164,111
Bike,PURE EV,eTryst 350,2020,177,95
Scooter,Ola Electric,S1 Pro,2022,158,150
Scooter,Ola Electric,S1 Pro,2019,79,170
Car,Tata Motors,Nexon EV,2023,218,157
Bike,Tork Motors,Kratos,2019,88,98
Scooter,Hero Electric,Optima,2023,252,174
Scooter,TVS,iQube,2022,119,161
Car,BYD,Atto 3,2020,171,127
Bike,Tork Motors,Kratos,2023,304,168
Bike,Tork Motors,Kratos,2023,225,94
Car,Tata Motors,Nexon EV,2019,107,88
Car,Tata Motors,Nexon EV,2023,373,163
Scooter,Hero Electric,Optima,2021,198,138
Scooter,Hero Electric,Optima,2019,345,78
Car,MG,ZS EV,2022,385,81
Bike,PURE EV,eTryst 350,2019,284,162
Car,MG,ZS EV,2019,228,129
Bike,Ultraviolette,F77,2021,102,101
Bike,Ultraviolette,F77,2023,351,113
Scooter,Hero Electric,Optima,2023,421,136
Scooter,TVS,iQube,2020,270,147
Car,MG,ZS EV,2020,195,148
Bike,Tork Motors,Kratos,2023,411,143
Scooter,TVS,iQube,2019,183,70
Car,BYD,Atto 3,2021,185,101
Scooter,Bajaj,Chetak,2022,165,75
Scooter,Bajaj,Chetak,2021,78,134
Scooter,Ather,450X,2019,303,125
Bike,Revolt Motors,RV400,2021,362,130
Car,BYD,Atto 3,2021,471,91
Bike,Tork Motors,Kratos,2019,171,116
Scooter,Ather,450X,2022,223,111
Scooter,Bajaj,Chetak,2021,295,62
Scooter,Ather,450X,2019,179,129
Car,Tata Motors,Nexon EV,2020,475,97
Car,BYD,Atto 3,2023,285,115
Car,MG,ZS EV,2021,247,166
Bike,Tork Motors,Kratos,2021,355,177
Car,MG,ZS EV,2020,291,107
Car,BYD,Atto 3,2022,387,158
Scooter,Hero Electric,Optima,2019,344,179
Car,MG,ZS EV,2019,172,150
Car,MG,ZS EV,2020,366,132
Bike,Tork Motors,Kratos,2021,276,124
Bike,Tork Motors,Kratos,2020,253,135
Scooter,Ola Electric,S1 Pro,2023,455,138
Car,BYD,Atto 3,2022,379,170
Car,MG,ZS EV,2023,394,130
Bike,Tork Motors,Kratos,2020,118,80
Car,Hyundai,Kona Electric,2020,211,141
Car,Hyundai,Kona Electric,2019,195,179
Bike,Ultraviolette,F77,2022,299,91
Bike,Tork Motors,Kratos,2019,468,144
Car,MG,ZS EV,2019,169,81
Bike,Oben Electric,Rorr,2021,161,174
Car,Hyundai,Kona Electric,2022,103,121
Car,Mahindra,eVerito,2021,210,72
Scooter,Ather,450X,2022,385,161
Car,MG,ZS EV,2022,219,99
Car,Tata Motors,Nexon EV,2020,227,109
Car,BYD,Atto 3,2020,119,135
Bike,Oben Electric,Rorr,2019,218,90
Bike,PURE EV,eTryst 350,2019,165,87
Scooter,Hero Electric,Optima,2023,217,73
Car,BYD,Atto 3,2022,427,77
Bike,Oben Electric,Rorr,2020,263,79
Scooter,Ola Electric,S1 Pro,2023,232,118
Car,BYD,Atto 3,2020,458,140
Car,Hyundai,Kona Electric,2021,191,124
Scooter,Hero Electric,Optima,2023,94,177
Scooter,Ola Electric,S1 Pro,2022,295,173
Car,Hyundai,Kona Electric,2023,103,127
Car,Tata Motors,Nexon EV,2019,302,77
Car,Hyundai,Kona Electric,2019,234,177
Bike,PURE EV,eTryst 350,2019,177,158
Car,Tata Motors,Nexon EV,2022,225,144
Car,Mahindra,eVerito,2021,331,162
Car,BYD,Atto 3,2023,344,139
Bike,PURE EV,eTryst 350,2023,261,94
Bike,Oben Electric,Rorr,2022,337,80
Scooter,Hero Electric,Optima,2022,323,118
Bike,Revolt Motors,RV400,2022,262,70
Scooter,Hero Electric,Optima,2022,91,93
Bike,PURE EV,eTryst 350,2021,437,140
Scooter,Ather,450X,2021,426,125
Scooter,Bajaj,Chetak,2019,488,162
Scooter,TVS,iQube,2023,400,150
Scooter,Ola Electric,S1 Pro,2020,325,120
Scooter,TVS,iQube,2020,496,120
Car,MG,ZS EV,2021,286,89
Bike,Oben Electric,Rorr,2023,144,174
Car,Tata Motors,Nexon EV,2019,313,114
Car,BYD,Atto 3,2019,426,107
Bike,Revolt Motors,RV400,2020,310,127
Car,Hyundai,Kona Electric,2021,243,164
Car,Hyundai,Kona Electric,2020,496,131
Car,Mahindra,eVerito,2021,167,90
Bike,Revolt Motors,RV400,2022,302,166
Car,Tata Motors,Nexon EV,2023,97,133
Car,Mahindra,eVerito,2020,388,65
Bike,Tork Motors,Kratos,2021,279,97
Bike,PURE EV,eTryst 350,2019,280,136
Car,MG,ZS EV,2022,269,111
Car,MG,ZS EV,2019,87,107
Bike,Ultraviolette,F77,2023,313,151
Car,Tata Motors,Nexon EV,2023,316,135
Bike,Revolt Motors,RV400,2022,195,109
Bike,Revolt Motors,RV400,2020,98,61
Car,Hyundai,Kona Electric,2022,297,69
Scooter,Bajaj,Chetak,2021,281,118
Bike,Tork Motors,Kratos,2022,406,92
Scooter,Bajaj,Chetak,2023,87,117
Car,Tata Motors,Nexon EV,2022,202,119
Scooter,Ather,450X,2021,215,106
Scooter,Ola Electric,S1 Pro,2020,399,143
Car,Hyundai,Kona Electric,2019,150,108
Car,Mahindra,eVerito,2021,143,139
Bike,Tork Motors,Kratos,2021,412,157
Car,Mahindra,eVerito,2020,382,91
Bike,Ultraviolette,F77,2019,173,61
Car,Mahindra,eVerito,2021,342,70
Scooter,Bajaj,Chetak,2019,152,79
Scooter,Hero Electric,Optima,2021,184,125
Bike,Tork Motors,Kratos,2019,439,142
Scooter,Ather,450X,2020,393,80
Bike,Tork Motors,Kratos,2021,476,90
Bike,PURE EV,eTryst 350,2019,404,117
Bike,PURE EV,eTryst 350,2021,245,96
Scooter,Ola Electric,S1 Pro,2019,256,121
Scooter,Ola Electric,S1 Pro,2019,153,141
Car,MG,ZS EV,2022,284,171
Bike,Revolt Motors,RV400,2021,375,174
Scooter,TVS,iQube,2021,409,177
Car,Hyundai,Kona Electric,2021,119,113
Bike,PURE EV,eTryst 350,2023,368,121
Bike,Revolt Motors,RV400,2019,188,64
Scooter,Hero Electric,Optima,2022,350,113
Scooter,TVS,iQube,2020,174,99
Scooter,Bajaj,Chetak,2022,460,102
Scooter,TVS,iQube,2023,218,68
Car,Mahindra,eVerito,2019,334,114
Car,Tata Motors,Nexon EV,2021,252,113
Scooter,Hero Electric,Optima,2022,361,157
Scooter,TVS,iQube,2022,276,62
Scooter,Hero Electric,Optima,2022,463,86
