Make,Model,Year,Body Type
Honda,Amaze,2021,Sedan
Maruti Suzuki,Swift,2013,Hatchback
Hyundai,Verna,2016,Sedan
Tata Motors,Altroz,2010,Hatchback
Ford India,Figo,2022,Hatchback
Hyundai,Tucson,2021,SUV
Nissan India,Sunny,2020,Sedan
Mahindra,Thar,2023,SUV
Volkswagen India,Polo,2015,Hatchback
Toyota,Urban Cruiser,2021,Crossover
Tata Motors,Harrier,2012,Crossover
Hyundai,Verna,2014,Sedan
Toyota,Innova Crysta,2021,MPV
Honda,Jazz,2013,Hatchback
Maruti Suzuki,Alto,2018,Hatchback
Volkswagen India,Tiguan,2016,Crossover
Mahindra,XUV700,2011,SUV
Nissan India,Magnite,2018,SUV
Maruti Suzuki,Baleno,2011,Hatchback
Ford India,Figo,2019,Hatchback
Toyota,Innova Crysta,2012,MPV
Ford India,Figo,2015,Hatchback
Tata Motors,Harrier,2019,Crossover
Toyota,Glanza,2022,Crossover
Honda,City,2011,Sedan
Ford India,Figo,2014,Hatchback
Toyota,Urban Cruiser,2013,Crossover
Volkswagen India,Vento,2015,Sedan
Hyundai,Verna,2011,Sedan
Nissan India,Sunny,2020,Sedan
Mahindra,Marazzo,2022,MPV
Hyundai,i20,2010,Crossover
Mahindra,Thar,2022,SUV
Toyota,Glanza,2023,Crossover
Volkswagen India,Vento,2014,Sedan
Renault India,Triber,2020,MPV
Renault India,Triber,2017,MPV
Honda,Jazz,2022,Hatchback
Mahindra,XUV700,2016,SUV
Nissan India,Terrano,2020,Crossover
Ford India,Figo,2014,Hatchback
Honda,WR-V,2011,Crossover
Hyundai,Creta,2019,SUV
Renault India,Triber,2018,MPV
Mahindra,Marazzo,2010,MPV
Honda,WR-V,2020,Crossover
Volkswagen India,Tiguan,2023,Crossover
Volkswagen India,Polo,2012,Hatchback
Honda,Amaze,2012,Sedan
Honda,City,2017,Sedan
Hyundai,Verna,2021,Sedan
Hyundai,Verna,2010,Sedan
Ford India,EcoSport,2020,SUV
Ford India,Endeavour,2014,Crossover
Mahindra,Bolero,2015,SUV
Tata Motors,Tiago,2022,Hatchback
Hyundai,Verna,2010,Sedan
Mahindra,XUV700,2016,SUV
Nissan India,Magnite,2023,SUV
Renault India,Triber,2010,MPV
Honda,Amaze,2016,Sedan
Renault India,Kwid,2016,Crossover
Mahindra,Thar,2022,SUV
Toyota,Innova Crysta,2016,MPV
Nissan India,Terrano,2023,Crossover
Maruti Suzuki,Vitara Brezza,2021,SUV
Toyota,Glanza,2015,Crossover
Nissan India,Magnite,2015,SUV
Volkswagen India,Vento,2010,Sedan
Toyota,Fortuner,2020,MPV
Hyundai,Tucson,2019,SUV
Renault India,Captur,2012,SUV
Hyundai,Venue,2017,SUV
Tata Motors,Altroz,2015,Hatchback
Mahindra,Thar,2014,SUV
Toyota,Innova Crysta,2016,MPV
Toyota,Innova Crysta,2014,MPV
Honda,WR-V,2020,Crossover
Renault India,Kwid,2012,Crossover
Toyota,Fortuner,2021,MPV
Hyundai,Tucson,2013,SUV
Volkswagen India,Jetta,2021,Sedan
Hyundai,Venue,2017,SUV
Mahindra,Marazzo,2021,MPV
Toyota,Glanza,2023,Crossover
Volkswagen India,Tiguan,2023,Crossover
Nissan India,Sunny,2018,Sedan
Mahindra,Scorpio,2016,Crossover
Honda,WR-V,2021,Crossover
Ford India,EcoSport,2018,SUV
Renault India,Triber,2017,MPV
Tata Motors,Harrier,2016,Crossover
Mahindra,XUV700,2018,SUV
Toyota,Etios,2021,Sedan
Hyundai,i20,2015,Crossover
Nissan India,Sunny,2021,Sedan
Honda,WR-V,2012,Crossover
Ford India,EcoSport,2020,SUV
Renault India,Triber,2011,MPV
